Algoritmo,Tipo,Tamanho,Threads,Amostra,Tempo_ms
ParallelBubbleSort,reverse,10000,8,2,15369,6427
ParallelBubbleSort,reverse,10000,8,3,15225,0495
ParallelBubbleSort,reverse,10000,8,4,15092,9602
ParallelBubbleSort,reverse,10000,8,5,15027,2202
ParallelQuickSort,reverse,10000,8,1,2,1025
ParallelQuickSort,reverse,10000,8,2,2,1164
ParallelQuickSort,reverse,10000,8,3,2,2422
ParallelQuickSort,reverse,10000,8,4,2,8261
ParallelQuickSort,reverse,10000,8,5,3,2582
ParallelMergeSort,reverse,10000,8,1,1,2080
ParallelMergeSort,reverse,10000,8,2,0,9214
ParallelMergeSort,reverse,10000,8,3,0,8408
ParallelMergeSort,reverse,10000,8,4,0,8835
ParallelMergeSort,reverse,10000,8,5,0,8335
ParallelSelectionSort,reverse,10000,8,1,134,5491
ParallelSelectionSort,reverse,10000,8,2,128,9932
ParallelSelectionSort,reverse,10000,8,3,128,7759
ParallelSelectionSort,reverse,10000,8,4,132,3008
ParallelSelectionSort,reverse,10000,8,5,133,2100
BubbleSort,reverse,20000,1,1,270,2422
BubbleSort,reverse,20000,1,2,271,4243
BubbleSort,reverse,20000,1,3,274,4558
BubbleSort,reverse,20000,1,4,277,4361
BubbleSort,reverse,20000,1,5,272,6139
QuickSort,reverse,20000,1,1,0,9660
QuickSort,reverse,20000,1,2,0,9576
QuickSort,reverse,20000,1,3,0,9440
QuickSort,reverse,20000,1,4,0,8874
QuickSort,reverse,20000,1,5,0,7162
MergeSort,reverse,20000,1,1,1,1545
MergeSort,reverse,20000,1,2,1,1323
MergeSort,reverse,20000,1,3,1,1223
MergeSort,reverse,20000,1,4,1,1481
MergeSort,reverse,20000,1,5,1,2133
SelectionSort,reverse,20000,1,1,104,6334
SelectionSort,reverse,20000,1,2,106,3037
SelectionSort,reverse,20000,1,3,101,1999
SelectionSort,reverse,20000,1,4,103,2379
SelectionSort,reverse,20000,1,5,100,4380
ParallelBubbleSort,reverse,20000,2,1,34589,3923
ParallelBubbleSort,reverse,20000,2,2,34791,7470
ParallelBubbleSort,reverse,20000,2,3,34364,6612
ParallelBubbleSort,reverse,20000,2,4,35071,3069
ParallelBubbleSort,reverse,20000,2,5,34257,6311
ParallelQuickSort,reverse,20000,2,1,6,7092
ParallelQuickSort,reverse,20000,2,2,5,4113
ParallelQuickSort,reverse,20000,2,3,9,1322
ParallelQuickSort,reverse,20000,2,4,6,6559
ParallelQuickSort,reverse,20000,2,5,6,8851
ParallelMergeSort,reverse,20000,2,1,1,6124
ParallelMergeSort,reverse,20000,2,2,1,5597
ParallelMergeSort,reverse,20000,2,3,1,3354
ParallelMergeSort,reverse,20000,2,4,1,2608
ParallelMergeSort,reverse,20000,2,5,1,0455
ParallelSelectionSort,reverse,20000,2,1,301,1218
ParallelSelectionSort,reverse,20000,2,2,325,8719
ParallelSelectionSort,reverse,20000,2,3,389,4386
ParallelSelectionSort,reverse,20000,2,4,297,2899
ParallelSelectionSort,reverse,20000,2,5,297,9153
ParallelBubbleSort,reverse,20000,4,1,38752,1233
ParallelBubbleSort,reverse,20000,4,2,38613,9731
ParallelBubbleSort,reverse,20000,4,3,39926,1804
ParallelBubbleSort,reverse,20000,4,4,40025,5403
ParallelBubbleSort,reverse,20000,4,5,39052,3414
ParallelQuickSort,reverse,20000,4,1,4,2601
ParallelQuickSort,reverse,20000,4,2,4,3951
ParallelQuickSort,reverse,20000,4,3,4,7044
ParallelQuickSort,reverse,20000,4,4,3,5248
ParallelQuickSort,reverse,20000,4,5,6,0672
ParallelMergeSort,reverse,20000,4,1,1,4304
ParallelMergeSort,reverse,20000,4,2,2,0060
ParallelMergeSort,reverse,20000,4,3,2,5278
ParallelMergeSort,reverse,20000,4,4,1,8342
ParallelMergeSort,reverse,20000,4,5,2,7594
ParallelSelectionSort,reverse,20000,4,1,330,8940
ParallelSelectionSort,reverse,20000,4,2,318,1267
ParallelSelectionSort,reverse,20000,4,3,320,0936
ParallelSelectionSort,reverse,20000,4,4,318,3789
ParallelSelectionSort,reverse,20000,4,5,308,0356
ParallelBubbleSort,reverse,20000,8,1,46566,8319
ParallelBubbleSort,reverse,20000,8,2,46194,4890
ParallelBubbleSort,reverse,20000,8,3,43862,2579
ParallelBubbleSort,reverse,20000,8,4,41581,4989
ParallelBubbleSort,reverse,20000,8,5,42424,3470
ParallelQuickSort,reverse,20000,8,1,2,8588
ParallelQuickSort,reverse,20000,8,2,2,9070
ParallelQuickSort,reverse,20000,8,3,2,9420
ParallelQuickSort,reverse,20000,8,4,2,9796
ParallelQuickSort,reverse,20000,8,5,3,1435
ParallelMergeSort,reverse,20000,8,1,1,3331
ParallelMergeSort,reverse,20000,8,2,1,4676
ParallelMergeSort,reverse,20000,8,3,1,3157
ParallelMergeSort,reverse,20000,8,4,1,2678
ParallelMergeSort,reverse,20000,8,5,1,1145
ParallelSelectionSort,reverse,20000,8,1,333,9158
ParallelSelectionSort,reverse,20000,8,2,340,0919
ParallelSelectionSort,reverse,20000,8,3,395,9072
ParallelSelectionSort,reverse,20000,8,4,313,3346
ParallelSelectionSort,reverse,20000,8,5,290,2371
